Marque,Segment,SEGMENT_MODOP,PVFP,collecte,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
MMA Agents,EURO,GP,2454035.5149448244,122935678.2636622,,,,,,,,,,,,
MMA Agents,EURO,PC,6781613.774656093,260216296.4414037,,,,,,,,,,,,
MMA Agents,EURO,PP,172951.6341156783,8908871.54663926,,,,,,,,,,,,
MMA Agents,UC,GP,1375334.322721709,21553082.524069425,,,,,,,,,,,,
MMA Agents,UC,PC,7352703.839062618,70339977.71033688,,,,,,,,,,,,
MMA Agents,UC,PP,191100.75841471323,3301401.8802745407,,,,,,,,,,,,
MMA Agents,Prevoyance,GP,560025.5066070906,13622856.542461997,,,,,,,,,,,,
MMA Banque,EURO,PC,24402.720283672577,1414026.2296208078,,,,,,,,,,,,
MMA Banque,EURO,GP,0.0,0.0,,,,,,,,,,,,
MMA Banque,UC,PC,51.779785642346326,638.3152524879257,,,,,,,,,,,,
MMA CAP,EURO,GP,120425.71673530583,7977608.796289454,,,,,,,,,,,,
MMA CAP,EURO,PC,1019291.3817258874,78367726.98120354,,,,,,,,,,,,
MMA CAP,UC,GP,798.2300398831098,76296.60673222612,,,,,,,,,,,,
MMA CAP,UC,PC,7011694.162497101,61428625.394665815,,,,,,,,,,,,
MMA CAP,Prevoyance,GP,131628.24465752902,1948741.7706900514,,,,,,,,,,,,
MMA Courtage,EURO,GP,22349.36767095173,1038287.8615176469,,,,,,,,,,,,
MMA Courtage,EURO,PC,5924309.878712714,292364125.902473,,,,,,,,,,,,
MMA Courtage,EURO,PP,0.0,0.0,,,,,,,,,,,,
MMA Courtage,UC,PC,8928910.52353942,176674625.51631123,,,,,,,,,,,,
MMA Courtage,UC,GP,989.2631786239349,18750.000160922013,,,,,,,,,,,,
MMA Courtage,UC,PP,0.0,0.0,,,,,,,,,,,,
MMA Courtage,Prevoyance,GP,38360.79693246413,1019010.2710351261,,,,,,,,,,,,
MAAF,EURO,Ex PC,52883.94416215269,5069242.999006182,,,,,,,,,,,,
MAAF,EURO,GP,1988220.2088194797,122744762.97593608,,,,,,,,,,,,
MAAF,EURO,PC,5430081.19844768,239544239.9530377,,,,,,,,,,,,
MAAF,EURO,PP,693512.0745910689,36730232.992799096,,,,,,,,,,,,
MAAF,EURO,NC,0.0,0.0,,,,,,,,,,,,
MAAF,UC,Ex PC,53860.084186966036,569590.2650120524,,,,,,,,,,,,
MAAF,UC,GP,1535176.8489708547,18126028.841268916,,,,,,,,,,,,
MAAF,UC,PC,14731511.106821481,91900250.19522215,,,,,,,,,,,,
MAAF,UC,PP,1020362.6902255148,10846068.105020113,,,,,,,,,,,,
MAAF,Prevoyance,NC,3138037.2737379465,45162068.19589191,,,,,,,,,,,,
GMF,EURO,GP,5589873.290259728,276570780.7484426,,,,,,,,,,,,
GMF,EURO,PC,11961410.08264409,473475581.0288767,,,,,,,,,,,,
GMF,EURO,PP,1814867.733827149,86065804.85962448,,,,,,,,,,,,
GMF,UC,GP,2143627.6870003934,19988259.17267334,,,,,,,,,,,,
GMF,UC,PC,9868745.057788663,65246875.569801845,,,,,,,,,,,,
GMF,UC,PP,1247866.2832474161,11635547.729871064,,,,,,,,,,,,
GMF,Prevoyance,NC,1784735.7687823814,28746448.378230847,,,,,,,,,,,,
DAV,EURO,GP,10174904.098430289,531267118.645848,,,,,,,,,,,,
DAV,EURO,PC,31141109.036470134,1345381996.5366154,,,,,,,,,,,,
DAV,EURO,PP,2681331.442533896,131704909.39906281,,,,,,,,,,,,
DAV,UC,GP,5055926.351911463,59762417.14490483,,,,,,,,,,,,
DAV,UC,PC,47893616.469494924,465590992.7015904,,,,,,,,,,,,
DAV,UC,PP,2459329.7318876437,25783017.715165723,,,,,,,,,,,,
DAV,Prevoyance,GP,730014.5481970838,16590608.584187174,,,,,,,,,,,,
DAV,EURO,Ex PC,52883.94416215269,5069242.999006182,,,,,,,,,,,,
DAV,EURO,NC,0.0,0.0,,,,,,,,,,,,
DAV,UC,Ex PC,53860.084186966036,569590.2650120524,,,,,,,,,,,,
DAV,Prevoyance,NC,4922773.042520327,73908516.57412276,,,,,,,,,,,,
